;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;GRÜNE;NEOS;KPÖ;EUROPA;
G40509;Pupping;1452;853;13;840;291;176;200;114;47;3;9;
G40510;Sankt Marienkirchen an der Polsenz;1905;1047;22;1025;368;218;246;129;54;1;9;
G40511;Scharten;1778;1109;27;1082;317;258;265;138;82;5;17;
G40512;Stroheim;1325;703;16;687;372;86;135;49;42;1;2;
G40599;Wahlkarten - Eferding;0;2002;23;1979;653;500;301;325;160;20;20;
G40600;Freistadt;53845;35638;866;34772;14477;8151;5380;4271;2000;232;261;
G40601;Freistadt;6174;3391;56;3335;1071;902;544;521;250;27;20;
G40602;Grünbach;1553;872;15;857;374;168;169;76;57;7;6;
G40603;Gutau;2215;1282;17;1265;528;325;205;135;60;8;4;
G40604;Hagenberg im Mühlkreis;2250;1276;24;1252;379;302;197;252;95;7;20;
G40605;Hirschbach im Mühlkreis;961;594;19;575;302;108;45;86;27;2;5;
G40606;Kaltenberg;497;343;10;333;245;22;53;7;5;1;0;
G40607;Kefermarkt;1720;1025;18;1007;429;255;158;87;63;7;8;
G40608;Königswiesen;2525;1354;46;1308;748;168;241;92;46;6;7;
G40609;Lasberg;2321;1344;30;1314;608;269;179;179;66;7;6;
G40610;Leopoldschlag;831;511;19;492;282;60;77;48;21;3;1;
G40611;Liebenau;1339;704;25;679;383;109;138;28;12;4;5;
G40612;Neumarkt im Mühlkreis;2603;1606;47;1559;616;368;232;234;91;11;7;
G40613;Pierbach;805;471;19;452;223;70;102;25;24;1;7;
G40614;Pregarten;4370;2515;53;2462;894;661;418;282;170;18;19;
G40615;Rainbach im Mühlkreis;2348;1380;43;1337;649;300;165;127;72;12;12;
G40616;Sandl;1158;650;23;627;202;189;122;64;39;9;2;
G40617;St. Leonhard bei Freistadt;1148;669;27;642;325;153;100;38;20;3;3;
G40618;St. Oswald bei Freistadt;2335;1208;30;1178;504;294;215;91;67;4;3;
G40619;Schönau im Mühlkreis;1570;1003;29;974;535;154;175;73;27;5;5;
G40620;Tragwein;2505;1525;41;1484;561;419;240;163;88;5;8;
G40621;Unterweißenbach;1780;934;25;909;535;118;171;40;40;1;4;
G40622;Unterweitersdorf;1763;1092;28;1064;359;354;153;129;55;4;10;
G40623;Waldburg;1115;672;12;660;293;141;79;82;53;2;10;
G40624;Wartberg ob der Aist;3521;1919;47;1872;580;550;331;257;124;12;18;
G40625;Weitersfelden;841;525;15;510;284;94;65;38;20;4;5;
G40626;Windhaag bei Freistadt;1258;683;19;664;366;144;74;55;20;1;4;
G40627;Bad Zell;2339;1416;54;1362;649;237;220;190;48;9;9;
G40699;Wahlkarten - Freistadt;0;4674;75;4599;1553;1217;512;872;340;52;53;
G40700;Gmunden;79506;49197;933;48264;15549;14703;7785;6134;3382;309;402;
G40701;Altmünster;7862;4336;109;4227;1557;1023;685;582;326;24;30;
G40702;Bad Goisern am Hallstättersee;6201;2881;64;2817;666;1170;476;297;157;26;25;
G40703;Bad Ischl;10866;5040;92;4948;1389;1875;746;536;332;30;40;
G40704;Ebensee;6289;3279;69;3210;840;1205;558;378;166;24;39;
G40705;Gmunden;10358;4847;59;4788;1737;1083;721;726;451;27;43;
G40706;Gosau;1440;783;25;758;249;333;98;26;44;3;5;
G40707;Grünau im Almtal;1634;903;15;888;312;242;189;87;46;5;7;
G40708;Gschwandt;2241;1262;28;1234;465;287;208;172;90;4;8;
G40709;Hallstatt;592;380;10;370;76;185;26;55;24;1;3;
G40710;Kirchham;1733;905;21;884;443;126;190;80;35;2;8;
G40711;Laakirchen;7083;3751;84;3667;1053;1276;640;402;236;29;31;
G40712;Obertraun;552;344;7;337;95;169;17;36;13;7;0;
G40713;Ohlsdorf;4114;2124;55;2069;711;546;383;275;138;8;8;
G40714;Pinsdorf;3016;1558;33;1525;477;430;340;152;104;8;14;
G40715;Roitham am Traunfall;1597;871;25;846;326;217;174;72;41;6;10;
G40716;St. Konrad;903;451;9;442;210;112;64;34;19;3;0;
G40717;St. Wolfgang im Salzkammergut;2122;1046;15;1031;488;277;141;75;36;6;8;
G40718;Traunkirchen;1354;725;8;717;279;181;79;110;65;1;2;
G40719;Scharnstein;3805;2014;43;1971;603;550;396;242;153;11;16;
G40720;Vorchdorf;5744;3165;63;3102;1063;742;676;404;190;10;17;
G40799;Wahlkarten - Gmunden;0;8532;99;8433;2510;2674;978;1393;716;74;88;
G40800;Grieskirchen;50632;31760;620;31140;12981;5835;6355;3843;1815;133;178;
G40801;Aistersheim;706;400;9;391;161;64;112;27;26;0;1;
G40802;Bad Schallerbach;3081;1548;24;1524;549;354;321;184;99;7;10;
G40804;Eschenau im Hausruckkreis;901;532;11;521;277;62;119;43;19;1;0;
G40805;Gallspach;1872;917;19;898;309;174;266;95;47;6;1;
G40806;Gaspoltshofen;2845;1478;47;1431;526;252;380;164;91;9;9;
G40807;Geboltskirchen;1154;643;15;628;250;136;120;99;21;0;2;
G40808;Grieskirchen;3530;1817;38;1779;604;414;368;267;101;8;17;
G40809;Haag am Hausruck;1650;886;20;866;334;174;173;124;54;2;5;
G40810;Heiligenberg;569;382;6;376;227;20;78;29;19;1;2;
G40811;Hofkirchen an der Trattnach;1234;697;11;686;296;107;166;64;40;7;6;
G40812;Kallham;2054;1007;27;980;423;189;200;98;56;7;7;
G40813;Kematen am Innbach;1070;579;3;576;211;103;177;42;36;3;4;
G40814;Meggenhofen;1192;646;15;631;323;85;97;88;36;1;1;
G40815;Michaelnbach;1038;519;9;510;296;50;89;33;38;1;3;
G40816;Natternbach;1909;1089;20;1069;473;204;245;99;44;2;2;
G40817;Neukirchen am Walde;1336;794;21;773;397;109;164;72;28;1;2;
G40818;Neumarkt im Hausruckkreis;1103;509;5;504;185;134;117;42;16;2;8;
G40820;Pötting;460;281;6;275;188;27;35;14;6;0;5;
G40821;Pollham;791;447;11;436;201;59;68;82;25;0;1;
G40822;Pram;1353;725;10;715;267;122;192;86;43;4;1;
G40823;Rottenbach;852;517;13;504;176;74;162;51;32;4;5;
G40824;St. Agatha;1747;930;13;917;517;130;158;51;49;3;9;
G40825;St. Georgen bei Grieskirchen;1089;578;16;562;241;102;104;76;34;3;2;
G40826;St. Thomas;432;235;5;230;103;36;54;27;7;2;1;
G40827;Schlüßlberg;2369;1314;31;1283;376;426;253;140;76;6;6;
G40828;Steegen;909;433;8;425;228;47;78;54;17;1;0;
G40829;Taufkirchen an der Trattnach;1613;754;12;742;321;109;195;80;32;2;3;
G40830;Tollet;749;422;2;420;188;73;65;54;37;2;1;
G40831;Waizenkirchen;2916;1572;30;1542;769;201;278;200;76;8;10;
G40832;Wallern an der Trattnach;2410;1346;34;1312;481;304;252;159;97;8;11;
G40833;Weibern;1306;697;12;685;326;103;97;101;50;2;6;
G40834;Wendling;684;378;5;373;187;35;101;32;17;1;0;
G40835;Peuerbach;3708;1891;33;1858;893;258;373;223;92;10;9;
G40899;Wahlkarten - Grieskirchen;0;4797;79;4718;1678;1098;698;843;354;19;28;
G40900;Kirchdorf an der Krems;43577;26709;470;26239;9760;6055;4978;3241;1865;135;205;
G40901;Edlbach;508;267;2;265;146;45;42;15;15;2;0;
G40902;Grünburg;2933;1329;25;1304;471;301;323;121;67;4;17;
G40903;Hinterstoder;726;384;7;377;174;44;89;40;25;2;3;
G40904;Inzersdorf im Kremstal;1519;796;17;779;319;146;152;102;51;2;7;
G40905;Kirchdorf an der Krems;3271;1615;19;1596;460;469;263;264;120;8;12;
G40906;Klaus an der Pyhrnbahn;824;475;9;466;122;209;81;31;20;2;1;
G40907;Kremsmünster;4687;2557;48;2509;1004;466;445;326;235;12;21;
G40908;Micheldorf in Oberösterreich;4535;2477;46;2431;714;739;421;336;197;9;15;
G40909;Molln;2790;1504;24;1480;484;416;313;166;83;9;9;
G40910;Nußbach;1829;1002;16;986;509;173;122;96;77;4;5;
G40911;Oberschlierbach;373;233;2;231;120;29;26;40;15;0;1;
G40912;Pettenbach;4051;2130;55;2075;757;373;519;270;124;12;20;
G40913;Ried im Traunkreis;2144;1157;28;1129;529;140;271;102;78;3;6;
G40914;Rosenau am Hengstpaß;497;234;1;233;75;74;57;8;14;4;1;
G40915;Roßleithen;1481;765;7;758;315;186;140;67;37;4;9;
G40916;St. Pankraz;276;136;1;135;42;33;50;3;6;0;1;
G40917;Schlierbach;2198;1138;21;1117;389;206;220;179;107;8;8;
G40918;Spital am Pyhrn;1776;836;18;818;304;220;201;49;34;7;3;
G40919;Steinbach am Ziehberg;684;386;6;380;171;63;83;34;23;2;4;
G40920;Steinbach an der Steyr;1614;982;25;957;472;195;148;87;45;5;5;
G40921;Vorderstoder;664;299;7;292;150;35;70;19;15;2;1;
G40922;Wartberg an der Krems;2305;1247;24;1223;557;200;222;144;80;5;15;
G40923;Windischgarsten;1892;909;15;894;348;233;156;84;65;3;5;
G40999;Wahlkarten - Kirchdorf an der Krems;0;3851;47;3804;1128;1060;564;658;332;26;36;
G41000;Linz-Land;108227;68166;1037;67129;19861;20066;11890;8853;5452;396;611;
G41001;Allhaming;927;532;10;522;243;93;96;42;36;2;10;
G41002;Ansfelden;10821;5216;92;5124;1200;1716;1345;477;315;28;43;
G41003;Asten;4741;2389;41;2348;548;885;549;188;149;11;18;
G41004;Eggendorf im Traunkreis;738;415;3;412;169;82;71;40;47;1;2;
G41005;Enns;8042;4162;63;4099;1156;1251;734;576;317;27;38;
G41006;Hargelsberg;1083;662;8;654;270;169;94;70;41;4;6;
G41007;Hörsching;4568;2265;50;2215;674;613;508;224;166;12;18;
G41008;Hofkirchen im Traunkreis;1425;804;16;788;258;194;144;114;66;4;8;
G41009;Kematen an der Krems;2100;1091;18;1073;406;230;219;116;87;9;6;
G41010;Kirchberg-Thening;1956;1181;17;1164;307;368;198;188;90;6;7;
G41011;Kronstorf;2683;1518;34;1484;452;448;284;158;121;6;15;
G41012;Leonding;21173;12234;184;12050;3346;3578;2002;1798;1124;76;126;
G41013;Sankt Florian;5050;2916;52;2864;1077;664;449;389;252;10;23;
G41014;Neuhofen an der Krems;4955;2420;34;2386;734;633;356;408;213;13;29;
G41015;Niederneukirchen;1692;981;13;968;422;209;155;114;59;2;7;
G41016;Oftering;1669;945;11;934;316;244;181;109;71;7;6;
G41017;Pasching;5500;3093;62;3031;857;960;527;357;289;13;28;
G41018;Piberbach;1472;770;11;759;266;193;141;86;55;7;11;
G41019;Pucking;3158;1702;37;1665;534;378;425;161;149;6;12;
G41020;Sankt Marien;3777;2201;32;2169;798;557;344;272;171;9;18;
G41021;Traun;16027;7466;110;7356;1828;2644;1510;822;440;62;50;
G41022;Wilhering;4670;2795;37;2758;1007;673;283;469;293;5;28;
G41099;Wahlkarten - Linz-Land;0;10408;102;10306;2993;3284;1275;1675;901;76;102;
G41100;Perg;52834;34687;740;33947;12875;9150;5695;3844;1992;157;234;
G41101;Allerheiligen im Mühlkreis;1020;609;12;597;250;145;116;49;32;3;2;
G41102;Arbing;1151;661;15;646;250;154;108;95;36;0;3;
G41103;Baumgartenberg;1358;767;14;753;323;132;201;66;26;3;2;
G41104;Dimbach;814;456;16;440;222;83;88;29;15;3;0;
G41105;Grein;2328;1173;23;1150;435;299;221;114;64;7;10;
G41106;Katsdorf;2522;1475;28;1447;483;418;197;205;126;3;15;
G41107;Klam;763;427;15;412;165;64;117;31;25;4;6;
G41108;Bad Kreuzen;1785;903;22;881;548;72;139;72;39;4;7;
G41109;Langenstein;1961;1146;18;1128;290;446;205;102;76;6;3;
G41110;Luftenberg an der Donau;3314;1919;42;1877;527;602;359;210;145;16;18;
G41111;Mauthausen;3602;1876;33;1843;497;707;275;210;126;11;17;
G41112;Mitterkirchen im Machland;1339;746;13;733;363;153;125;59;28;1;4;
G41113;Münzbach;1309;802;25;777;437;83;160;52;39;2;4;
G41114;Naarn im Machlande;2806;1707;43;1664;750;383;321;111;86;5;8;
G41115;Pabneukirchen;1329;719;24;695;365;95;147;48;36;2;2;
G41116;Perg;6313;3464;58;3406;1227;875;612;422;228;16;26;
G41117;Rechberg;758;492;11;481;294;66;46;55;18;0;2;
G41118;Ried in der Riedmark;3395;1936;37;1899;677;581;254;224;134;14;15;
G41119;St. Georgen am Walde;1621;875;31;844;364;232;169;46;27;4;2;
G41120;St. Georgen an der Gusen;3274;1967;51;1916;497;716;270;297;109;11;16;
G41121;St. Nikola an der Donau;555;336;9;327;170;65;51;30;9;0;2;
G41122;St. Thomas am Blasenstein;736;433;7;426;277;47;60;26;14;1;1;
G41123;Saxen;1373;791;22;769;285;176;187;74;41;5;1;
G41124;Schwertberg;3964;2266;43;2223;687;757;338;299;119;10;13;
G41125;Waldhausen im Strudengau;2303;1310;47;1263;537;340;194;133;45;3;11;
G41126;Windhaag bei Perg;1141;665;19;646;339;97;108;56;46;0;0;
G41199;Wahlkarten - Perg;0;4766;62;4704;1616;1362;627;729;303;23;44;
G41200;Ried im Innkreis;46695;27521;478;27043;11327;4439;6168;3139;1630;147;193;
G41201;Andrichsfurt;605;298;8;290;161;20;62;25;18;2;2;
G41202;Antiesenhofen;814;371;1;370;163;71;94;22;13;0;7;
G41203;Aurolzmünster;2271;996;16;980;358;195;286;78;53;2;8;
G41204;Eberschwang;2712;1299;24;1275;450;267;313;123;95;10;17;
G41205;Eitzing;656;332;10;322;143;51;75;37;15;0;1;
G41206;Geiersberg;423;213;8;205;90;33;45;20;12;3;2;
G41207;Geinberg;1054;386;13;373;159;40;99;46;25;0;4;
G41208;Gurten;932;480;4;476;202;97;112;40;21;3;1;
G41209;Hohenzell;1787;944;17;927;457;92;175;122;66;3;12;
G41210;Kirchdorf am Inn;505;292;8;284;165;22;66;17;11;1;2;
G41211;Kirchheim im Innkreis;591;335;7;328;180;35;82;20;8;1;2;
G41212;Lambrechten;1076;566;13;553;284;49;151;41;28;0;0;
G41213;Lohnsburg am Kobernaußerwald;1835;894;22;872;443;98;206;72;48;2;3;
G41214;Mehrnbach;1859;882;19;863;376;120;231;88;43;1;4;
G41215;Mettmach;1907;875;21;854;357;115;290;48;31;9;4;
G41216;Mörschwang;268;168;3;165;88;5;24;26;22;0;0;
G41217;Mühlheim am Inn;532;273;5;268;103;62;62;26;12;2;1;
G41218;Neuhofen im Innkreis;1928;1098;19;1079;432;196;228;126;85;3;9;
G41219;Obernberg am Inn;1154;472;10;462;160;76;145;54;22;0;5;
G41220;Ort im Innkreis;936;437;7;430;181;51;135;46;15;1;1;
G41221;Pattigham;756;398;7;391;185;42;87;50;21;4;2;
G41222;Peterskirchen;580;340;5;335;201;28;67;22;10;5;2;
G41223;Pramet;828;467;1;466;225;66;111;30;25;5;4;
G41224;Reichersberg;1161;573;12;561;249;66;135;71;33;3;4;
G41225;Ried im Innkreis;8334;3875;58;3817;1207;855;831;560;305;30;29;
G41226;Sankt Georgen bei Obernberg am Inn;458;263;2;261;175;16;25;33;11;1;0;
G41227;Sankt Marienkirchen am Hausruck;686;453;7;446;224;34;103;56;27;2;0;
G41228;Sankt Martin im Innkreis;1345;632;9;623;241;109;144;85;41;1;2;
G41229;Schildorn;964;466;6;460;209;84;90;39;30;5;3;
G41230;Senftenbach;613;334;9;325;162;49;65;27;20;2;0;
G41231;Taiskirchen im Innkreis;1962;1044;23;1021;451;115;243;142;51;6;13;
G41232;Tumeltsham;1263;629;13;616;288;58;136;83;43;3;5;
G41233;Utzenaich;1191;617;17;600;279;101;137;48;26;2;7;
G41234;Waldzell;1763;831;13;818;366;141;221;54;31;3;2;
G41235;Weilbach;487;263;7;256;136;26;62;17;10;4;1;
G41236;Wippenham;459;265;9;256;107;58;55;18;17;1;0;
G41299;Wahlkarten - Ried im Innkreis;0;4460;45;4415;1670;896;775;727;286;27;34;
G41300;Rohrbach;45710;29226;560;28666;14143;4604;4680;3172;1743;134;190;
G41304;Altenfelden;1817;1054;30;1024;453;168;232;106;55;3;7;
G41305;Arnreit;908;590;7;583;345;65;75;63;31;0;4;
G41306;Atzesberg;365;243;4;239;129;27;56;14;12;0;1;
G41307;Auberg;432;264;4;260;151;25;48;23;13;0;0;
G41309;Haslach an der Mühl;2092;1164;37;1127;407;328;162;148;62;10;10;
G41311;Hörbich;328;201;8;193;121;10;44;13;4;0;1;
G41312;Hofkirchen im Mühlkreis;1225;676;10;666;331;118;107;66;42;0;2;
G41313;Julbach;1290;575;14;561;259;166;76;29;28;1;2;
G41314;Kirchberg ob der Donau;869;481;9;472;239;82;70;39;36;4;2;
G41315;Klaffer am Hochficht;1069;497;7;490;221;102;114;38;12;2;1;
G41316;Kleinzell im Mühlkreis;1314;725;18;707;310;152;93;87;51;7;7;
G41317;Kollerschlag;1202;621;14;607;357;78;118;32;20;0;2;
G41318;Lembach im Mühlkreis;1232;651;14;637;289;96;140;61;41;4;6;
G41319;Lichtenau im Mühlkreis;406;188;6;182;111;23;33;7;6;0;2;
G41320;Nebelberg;505;296;2;294;166;69;31;23;3;0;2;
G41321;Neufelden;936;530;11;519;233;90;69;86;34;1;6;
G41322;Niederkappel;801;483;13;470;270;43;99;24;27;1;6;
G41323;Niederwaldkirchen;1469;858;9;849;453;123;126;80;62;2;3;
G41324;Oberkappel;537;268;4;264;180;34;36;8;5;0;1;
G41325;Oepping;1308;702;11;691;364;92;112;64;51;2;6;
G41326;Peilstein im Mühlviertel;1268;677;21;656;377;112;104;36;22;0;5;
G41327;Pfarrkirchen im Mühlkreis;1166;640;7;633;390;47;96;71;24;1;4;
G41328;Putzleinsdorf;1251;695;19;676;379;70;101;75;44;6;1;
G41329;Neustift im Mühlkreis;1153;634;12;622;365;88;61;71;35;0;2;
G41331;St. Johann am Wimberg;817;476;5;471;216;46;125;54;22;1;7;
G41332;St. Martin im Mühlkreis;2987;1728;30;1698;792;312;270;195;116;3;10;
G41333;St. Oswald bei Haslach;407;248;9;239;115;47;41;20;12;2;2;
G41334;St. Peter am Wimberg;1448;888;16;872;489;124;86;91;73;4;5;
G41336;St. Ulrich im Mühlkreis;513;318;12;306;163;38;37;48;17;3;0;
G41337;St. Veit im Mühlkreis;988;581;11;570;299;63;100;61;44;0;3;
G41338;Sarleinsbach;1844;1106;21;1085;631;120;163;106;58;4;3;
G41341;Schwarzenberg am Böhmerwald;457;266;1;265;153;38;54;13;6;1;0;
G41342;Ulrichsberg;2351;1284;23;1261;600;180;270;117;80;10;4;
G41343;Aigen-Schlägl;2585;1321;19;1302;657;191;237;143;61;7;6;
G41344;Rohrbach-Berg;4191;2187;38;2149;1009;307;323;312;171;9;18;
G41345;Helfenberg;1270;777;11;766;352;130;156;74;42;8;4;
G41346;St. Stefan-Afiesl;909;541;8;533;297;68;91;52;22;1;2;
G41399;Wahlkarten - Rohrbach;0;3792;65;3727;1470;732;524;622;299;37;43;
G41400;Schärding;44960;27055;417;26638;11815;4421;6277;2504;1349;114;158;
G41401;Altschwendt;542;337;10;327;151;61;65;33;14;1;2;
G41402;Andorf;4113;2328;49;2279;901;469;620;148;120;12;9;
G41403;Brunnenthal;1561;818;5;813;340;141;202;90;30;8;2;
G41404;Diersbach;1319;730;13;717;311;123;190;53;35;2;3;
G41405;Dorf an der Pram;852;483;4;479;280;55;79;35;25;2;3;
G41406;Eggerding;1064;598;6;592;330;60;131;36;31;2;2;
G41407;Engelhartszell;777;336;2;334;156;55;67;37;15;3;1;
G41408;Enzenkirchen;1451;740;14;726;286;105;253;45;28;2;7;
G41409;Esternberg;2377;1170;20;1150;588;140;277;86;48;5;6;
G41410;Freinberg;1122;546;7;539;287;86;111;32;21;2;0;
G41411;Kopfing im Innkreis;1638;837;11;826;367;114;252;48;36;7;2;
G41412;Mayrhof;249;175;2;173;99;8;50;10;6;0;0;
G41413;Münzkirchen;2094;1088;12;1076;501;164;264;90;48;4;5;
G41414;Raab;1828;980;16;964;375;109;295;124;50;4;7;
G41415;Rainbach im Innkreis;1184;659;7;652;300;113;161;46;29;0;3;
G41416;Riedau;1667;734;14;720;240;173;158;94;47;5;3;
G41417;Sankt Aegidi;1298;775;21;754;424;74;185;39;28;2;2;
G41418;Sankt Florian am Inn;2366;1185;20;1165;413;250;314;116;61;3;8;
G41419;Sankt Marienkirchen bei Schärding;1476;646;6;640;317;74;172;38;32;2;5;
G41420;Sankt Roman;1433;705;8;697;386;29;206;35;37;3;1;
G41421;Sankt Willibald;941;507;15;492;219;65;149;36;17;4;2;
G41422;Schärding;3694;1657;26;1631;530;441;367;201;76;4;12;
G41423;Schardenberg;1751;932;12;920;554;79;163;74;39;2;9;
G41424;Sigharting;676;419;12;407;224;38;91;28;23;0;3;
G41425;Suben;946;412;3;409;186;79;82;38;20;1;3;
G41426;Taufkirchen an der Pram;2295;1201;20;1181;481;232;295;90;73;4;6;
G41427;Vichtenstein;461;239;7;232;132;18;55;7;17;1;2;
G41428;Waldkirchen am Wesen;1012;595;16;579;287;105;123;30;25;3;6;
G41429;Wernstein am Inn;1208;646;9;637;272;126;145;52;32;2;8;
G41430;Zell an der Pram;1565;799;11;788;392;97;140;107;47;1;4;
G41499;Wahlkarten - Schärding;0;3778;39;3739;1486;738;615;606;239;23;32;
G41500;Steyr-Land;48235;32027;600;31427;11619;8108;5432;3818;2058;162;230;
G41501;Adlwang;1480;765;16;749;363;95;146;93;41;1;10;
G41502;Aschach an der Steyr;1907;1150;26;1124;413;250;181;152;112;6;10;
G41503;Bad Hall;4021;1864;25;1839;677;428;349;216;148;8;13;
G41504;Dietach;2498;1437;30;1407;532;348;203;207;106;3;8;
G41505;Gaflenz;1538;835;23;812;403;126;157;71;50;3;2;
G41506;Garsten;5218;3026;52;2974;1057;732;540;413;184;22;26;
G41507;Großraming;2165;1331;34;1297;522;375;190;115;75;10;10;
G41508;Laussa;1025;604;12;592;266;122;98;62;31;6;7;
G41509;Losenstein;1304;659;11;648;227;189;104;90;26;6;6;
G41510;Maria Neustift;1288;785;22;763;417;84;169;52;33;4;4;
G41511;Pfarrkirchen bei Bad Hall;1827;937;13;924;344;239;183;99;51;6;2;
G41512;Reichraming;1447;818;17;801;180;362;134;78;40;2;5;
G41513;Rohr im Kremstal;1084;567;9;558;211;127;109;70;37;2;2;
G41514;St. Ulrich bei Steyr;2507;1489;29;1460;618;313;257;172;86;4;10;
G41515;Schiedlberg;995;586;12;574;324;83;83;46;35;2;1;
G41516;Sierning;7369;4316;98;4218;1212;1434;806;440;272;18;36;
G41517;Ternberg;2782;1489;29;1460;568;367;261;168;77;5;14;
G41518;Waldneukirchen;1774;1061;12;1049;448;190;217;98;87;3;6;
G41521;Wolfern;2594;1490;27;1463;659;300;266;150;73;6;9;
G41522;Weyer;3412;1823;33;1790;615;528;310;204;118;9;6;
G41599;Wahlkarten - Steyr-Land;0;4995;70;4925;1563;1416;669;822;376;36;43;
G41600;Urfahr-Umgebung;68847;47875;889;46986;17798;10220;6482;7967;3800;304;415;
G41601;Alberndorf in der Riedmark;3294;1849;34;1815;764;339;344;212;117;19;20;
G41602;Altenberg bei Linz;3650;2347;47;2300;1032;361;331;325;217;11;23;
G41603;Bad Leonfelden;3347;1922;78;1844;900;263;317;217;123;9;15;
G41604;Eidenberg;1708;1045;25;1020;533;152;111;134;78;7;5;
G41605;Engerwitzdorf;7069;4133;91;4042;1388;933;643;677;330;24;47;
G41606;Feldkirchen an der Donau;4414;2477;48;2429;865;622;434;335;148;10;15;
G41607;Gallneukirchen;5191;2959;46;2913;794;838;348;607;284;21;21;
G41608;Goldwörth;693;385;4;381;173;84;54;46;21;2;1;
G41609;Gramastetten;4168;2378;51;2327;980;402;271;402;231;14;27;
G41610;Haibach im Mühlkreis;751;443;9;434;208;73;70;55;21;1;6;
G41611;Hellmonsödt;1912;1040;9;1031;387;213;167;167;87;9;1;
G41612;Herzogsdorf;2132;1175;36;1139;569;162;208;117;73;4;6;
G41613;Kirchschlag bei Linz;1728;1001;21;980;403;149;147;178;94;1;8;
G41614;Lichtenberg;2190;1380;18;1362;520;275;144;246;156;8;13;
G41615;Oberneukirchen;2589;1473;39;1434;640;248;217;216;100;4;9;
G41616;Ottenschlag im Mühlkreis;433;249;9;240;115;50;49;10;11;3;2;
G41617;Ottensheim;3754;2238;24;2214;718;439;213;604;205;18;17;
G41618;Puchenau;3655;2109;24;2085;637;470;250;479;215;14;20;
G41619;Reichenau im Mühlkreis;1032;603;5;598;270;126;95;60;37;2;8;
G41620;Reichenthal;1197;725;21;704;346;133;99;74;44;6;2;
G41621;Sankt Gotthard im Mühlkreis;1074;627;13;614;232;158;89;80;50;2;3;
G41622;Schenkenfelden;1306;743;26;717;387;113;107;61;40;4;5;
G41623;Sonnberg im Mühlkreis;788;444;9;435;189;77;62;67;37;1;2;
G41624;Steyregg;3877;2144;35;2109;651;643;349;269;162;14;21;
G41626;Walding;3369;1878;38;1840;641;489;236;318;131;12;13;
G41627;Zwettl an der Rodl;1375;887;26;861;362;157;108;180;44;8;2;
G41628;Vorderweißenbach;2151;1218;25;1193;655;187;179;115;44;4;9;
G41699;Wahlkarten - Urfahr-Umgebung;0;8003;78;7925;2439;2064;840;1716;700;72;94;
G41700;Vöcklabruck;103271;64442;1304;63138;23589;14369;11580;8473;4196;351;580;
G41701;Ampflwang im Hausruckwald;2570;1413;37;1376;356;589;252;96;66;8;9;
G41702;Attersee am Attersee;1286;718;9;709;287;130;99;112;75;3;3;
G41703;Attnang-Puchheim;5661;2579;40;2539;701;900;526;280;99;18;15;
G41704;Atzbach;969;593;18;575;283;54;128;71;36;2;1;
G41705;Aurach am Hongar;1376;770;40;730;259;182;197;43;40;1;8;
G41706;Berg im Attergau;828;517;11;506;299;54;97;37;18;0;1;
G41707;Desselbrunn;1412;779;14;765;317;188;149;70;32;5;4;
G41708;Fornach;763;467;15;452;276;53;69;31;17;3;3;
G41709;Frankenburg am Hausruck;4014;2216;70;2146;763;585;483;195;106;7;7;
G41710;Frankenmarkt;2690;1429;46;1383;577;278;288;148;62;13;17;
G41711;Gampern;2335;1379;40;1339;547;240;240;213;80;6;13;
G41712;Innerschwand am Mondsee;921;480;1;479;294;39;52;66;24;2;2;
G41713;Lenzing;3928;2058;49;2009;426;787;458;191;119;9;19;
G41714;Manning;653;369;9;360;168;68;54;45;17;4;4;
G41715;Mondsee;2622;1159;21;1138;446;153;190;221;115;6;7;
G41716;Neukirchen an der Vöckla;2126;1340;43;1297;546;238;266;174;60;3;10;
G41717;Niederthalheim;849;508;16;492;229;64;94;53;37;1;14;
G41718;Nußdorf am Attersee;896;479;7;472;247;45;92;43;41;2;2;
G41719;Oberhofen am Irrsee;1278;686;14;672;340;108;106;71;40;1;6;
G41720;Oberndorf bei Schwanenstadt;1095;591;9;582;202;130;132;74;40;1;3;
G41721;Oberwang;1374;727;24;703;442;43;149;36;29;2;2;
G41722;Ottnang am Hausruck;3044;1559;37;1522;515;385;378;154;70;3;17;
G41723;Pfaffing;1180;604;13;591;232;146;108;64;34;1;6;
G41724;Pilsbach;531;341;9;332;149;91;37;37;16;0;2;
G41725;Pitzenberg;442;259;5;254;122;34;50;36;9;1;2;
G41726;Pöndorf;1876;916;24;892;410;179;203;62;31;5;2;
G41727;Puchkirchen am Trattberg;818;475;9;466;223;73;56;55;47;4;8;
G41728;Pühret;491;307;10;297;131;54;69;29;9;0;5;
G41729;Redleiten;404;237;9;228;90;38;72;16;11;1;0;
G41730;Redlham;1290;719;15;704;235;184;139;89;41;7;9;
G41731;Regau;5054;2869;57;2812;947;619;644;391;168;10;33;
G41732;Rüstorf;1681;834;17;817;277;207;172;84;60;4;13;
G41733;Rutzenham;225;156;2;154;66;14;26;28;12;8;0;
G41734;St. Georgen im Attergau;3192;1592;32;1560;637;228;368;192;111;12;12;
G41735;St. Lorenz;1911;886;16;870;427;88;136;121;79;2;17;
G41736;Schlatt;1090;569;22;547;221;115;106;55;47;2;1;
